bandeirante_id,name,variations
1,Afonso Dias,
2,Afonso Sardinha,
3,Agostinho Barbalho Bezera,
4,Aleixo Jorge,
5,Aleixo Leme,
6,Alonso de Gaia,
7,Alonso Perez Calhamares,
8,Alvaro Rodrigues do Prado,
9,Amador Bueno da Veiga,
10,Amaro Gauto,
11,André de Escudeiro,
12,André de Frias Taveira,
13,André de Leão,
14,André de Zunega,
15,André Fernandes,
16,Ângelo Francisco,
17,Antão Leme da Silva,
18,Antonio Bicudo,
19,Antonio Castanho da Silva,
20,Antonio Castilho,
21,Antonio Correia Pinto de Macedo,
22,Antonio de Almeida Lara,
23,Antonio de Andrade,
24,Antonio Dias Adorno,
25,Antonio Dias de Oliveira,
26,Antonio Domingues,
27,Antonio Gonçalves Davíde,
28,Antonio Gonçalvez Figueira,
29,Antonio Luiz Grou,
30,Antonio Nunes,
31,Antonio Nunes Pinto,
32,Antonio Pedroso de Alvarenga,
33,Antonio Pedroso de Barros,
34,Antonio Pereira,
35,Antonio Pinto,
36,Antonio Pires de Campos,Pay Pirá
37,Antonio Raposo Tavares,Raposo Tavares
38,Antonio Rodrigues Velho ,Araá
39,Antonio Salema,
40,Antonio Soares Ferreira,
41,Antonio Soares Paes,
42,Antonio Zouro del Toro,
43,Arthur de Sá e Menezes,
44,Artur Pais de Barros,
45,Ascenço Luiz Grou,
46,Ascenço Ribeiro,
47,Aspilcueta Navarro,
48,Balthazar de Godoy,
49,Balthazar Fernandes,
50,Balthazar Gonçalves,
51,Barbosa Calheiros,
52,Bartolomeu Bueno da Silva,Anhanguera
53,Bartolomeu Pais de Abreu,
54,Belchior de Pontes,
55,Belchior Dias Carneiro,
56,Belchior Dias Moreya,Melchior Dias Moreya
57,Bento Fernandes,
58,Bento Pires Ribeiro,
59,Bernardo e Gusmão,
60,Bernardo Soares de Proença,
61,Braz Cubas,
62,Braz Esteves Leme,
63,Braz Gonçalves,
64,Braz Leme,
65,Braz Mendes Paes,
66,Braz Rodrigues de Arzão,
67,Bruza de Espinosa,
68,Campos Bicudo,
69,Carlos Pedroso da Silveira,
70,Chrisostomo Alvarez,
71,Christovam de Aguiar,
72,Christovam de Mendonça,
73,Clemente Alvares,
74,Cristóvão Pereira de Abreu,
75,Diogo Barbosa do Rego,
76,Diogo Cão,
77,Diogo de Oliveira Gago,
78,Diogo de Onhatte,
79,Diogo de Quadros,
80,Diogo Fernandes,
81,Diogo Martins,
82,Diogo Martins Cão,
83,Diogo Martins Machuca,
84,Diogo Ramires,
85,Diogo Teixeira de Carvalho,
86,Domingos Barbosa Calheiros,
87,Domingos Cordeiro,
88,Domingos de Brito Peixoto,
89,Domingos Dias,
90,Domingos do Prado,
91,Domingos Fernandes,
92,Domingos Gonçalves,
93,Domingos Jorge Velho,
94,Domingos Marques Requeixo,
95,Domingos Pereda,
96,Domingos Rodrigues de Carvalho,
97,Domingos Rodrigues do Prado,
98,Domingos Rodrigues Velho,
99,Duarte Machado,
100,Estevam Martins,
101,Estevam Raposo,
102,Estevam Ribeiro Bayão Parente,
103,Felippe de Véres,
104,Fernando de Camargo,Jaguaretê
105,Fernando de Lencastre,
106,Fernão Carrilho,
107,Fernão Dias Falcão,
108,Fernão Dias Paes Leme,"Fernão Dias, Paes Leme"
109,Fernão Paes de Barros,Paes de Barros
110,Francisco Alvarenga,
111,Francisco Alvares Correia,
112,Francisco Bueno,
113,Francisco da Gama,
114,Francisco de Almeida,
115,Francisco de Baldim,
116,Francisco de Brito Peixoto,
117,Francisco de Paiva,
118,Francisco de Proença,
119,Francisco de Siqueira,
120,Francisco Dias de Avila,
121,Francisco Dias de Siqueira,
122,Francisco Dias Pinto,
123,Francisco Dias Velho,
124,Francisco Duarte,
125,Francisco Farel,
126,Francisco Ferreira,
127,Francisco Leme do Prado,
128,Francisco Nunes Cubas,
129,Francisco Pedroso Xavier,
130,Francisco Pereira,
131,Francisco Prelo,
132,Francisco Ribeiro de Moraes,
133,Francisco Roiz da Guerra,
134,Gabriel Antunes Maciel,
135,Gabriel de Lara,
136,Gabriel Soares,
137,Garcia Rodrigues Paes,
138,Garcia Rodrigues Velho,
139,Gaspar Collaço Villela,
140,Gaspar de Godoy Collaço,
141,Gaspar dos Reis,
142,Geraldo Correia,
143,Gonçalo Gil,
144,Heliodóro Eobanos,
145,Henrique da Cunha,
146,Henrique da Cunha Gago,Cunha Gago
147,Jeronymo Bueno,
148,Jeronymo da Veiga,
149,Jeronymo Gonçalves,
150,Jeronymo Leitão,
151,Jeronymo Pedroso de Barros,
152,João Amaro Maciel Parente,
153,João Antunes Maciel,
154,João Bernal,
155,João Coelho de Sousa,
156,João Correia de Sá,
157,João de Faria Fialho,
158,João de Santanna,
159,João de Siqueira Afonso,
160,João de Sousa de Azevedo,
161,João do Prado,
162,João Fernandes,
163,João Gago da Cunha,
164,João Gonçalves da Costa,
165,João Jorge,
166,João Leite da Silva Ortiz,
167,João Mendes Geraldo,
168,João Moreira,
169,João Morzelho,
170,João Paes,
171,João Pedroso de Moraes,Pedroso de Moraes
172,João Pereira de Sousa Botafogo,
173,João Ramalho,
174,João Raposo Bocarro,
175,João Velho do Valle,
176,Jorge Correia,
177,Jorge Rodrigues,
178,Jorge Soares de Macedo,
179,José Dias Paes,
180,José Gaspar Sanches,
181,Lazaro da Costa,
182,Leme da Silva,
183,Lourenço Cabreira,
184,Lourenço Carlos Mascarenhas e Araújo,Lourenço Carlos Mascarenhas
185,Lourenço Castanho Taques,
186,Lourenço da Costa,
187,Lourenço Gomes de Ruxaque,
188,Lourenço Nunes,
189,Lourenço Rabelo,
190,Luiz Castanho de Almeida,
191,Luiz Delgado,
192,Luiz Eanes Grou,
193,Luiz Martins,
194,Luiz Pedroso de Barros,
195,Manoel Alvares de Moraes Navarro,
196,Manoel Cardoso de Almeida,Cardoso de Almeida
197,Manoel Dias da Silva,
198,Manoel Lobo,
199,Manuel Affonso,
200,Manuel Chaves,
201,Manuel Correia,
202,Manuel da Borba Gato,Borba Gato
203,Manuel da Fonseca,
204,Manuel de Campos Bicudo,
205,Manuel de Oliveira,
206,Manuel de Soveral,
207,Manuel Dias da Silva ,Bixira
208,Manuel Felix de Lima,
209,Manuel Fernandes Ramos,
210,Manuel Gonçalves,
211,Manuel Lourenço de Andrade,
212,Manuel Machado,
213,Manuel Mendes Allemão,
214,Manuel Nunes Viana,
215,Manuel Paes,
216,Manuel Preto,
217,Manuel Requeixo,
218,Manuel Ribeiro Boito,
219,Manuel Rodrigues,
220,Manuel Soeiro,
221,Marcos de Azeredo,
222,Martim Carvalho,
223,Martim de Sá,
224,Martim do Prado,
225,Martim Rodrigues Tenorio de Aguiar,
226,Martin Fernandes,
227,Matheus Gomes,
228,Matheus Luiz Grou,Matheus Grou
229,Matheus Neto,
230,Mathias Cardoso,
231,Mathias Gomes,
232,Melchior de tal,
233,Miguel de Almeida de Miranda,
234,Miguel Gonçalves Correia,
235,Miguel Sutil,
236,Nicolau Barreto,
237,Nicolau Machado,
238,Paschoal Delgado,
239,Paschoal Leite Furtado,
240,Pascoal Moreira Cabral,
241,Paulo Guimarães,
242,Paulo Rodrigues,
243,Pedro Alvares,
244,Pedro de Araujo,
245,Pedro Leme da Silva,
246,Pedro Sardinha,
247,Pedro Vaz de Barros,
248,Pero da Silva,
249,Pero de Araujo,
250,Pero Domingues,
251,Pero Martins,
252,Pero Nunes,
253,Pero Velho de Barros,
254,Raphael de Proença,
255,Raphael Dias,
256,Rodrigo César de Meneses,
257,Rodrigo de Castél Branco,
258,Romão Freire,
259,Salvador Fernandes Furtado de Mendonça,
260,Salvador Marecos,
261,Salvador Pires de Medeiros,
262,Sebastião Alvares,
263,Sebastião de Freitas,
264,Sebastião Fernandes Camacho,
265,Sebastião Fernandes do Rêgo,
266,Sebastião Fernandes Tourinho,
267,Sebastião Leme,